FilePath,FileName,NEVdate,NumGoodChannels,SNRallchannels,SNRgoodchannels
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150511-125205\,20150511-125205-001.nev,2015511,51,1.37224442975186,1.22390615957688
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150512-121202\,20150512-121202-001.nev,2015512,53,1.34361360167276,1.3450659523145
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150514-115801\,20150514-115801-001.nev,2015514,63,1.74190955481452,1.70552457978501
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150518-115237\,20150518-115237-001.nev,2015518,75,1.957191785622,1.88324843592697
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150519-114550\,20150519-114550-001.nev,2015519,78,2.25119092841414,2.08222394303203
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150521-120232\,20150521-120232-001.nev,2015521,77,2.2455968157234,2.17233807655203
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150526-115122\,20150526-115122-001.nev,2015526,79,2.39963054885273,2.19212019298157
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150528-120324\,20150528-120324-001.nev,2015528,77,2.43394553309319,2.19501372663184
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150529-114909\,20150529-114909-001.nev,2015529,84,2.52641456817701,2.39039929405015
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150601-115557\,20150601-115557-001.nev,201561,80,2.44354578533374,2.35830839359676
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150602-120417\,20150602-120417-001.nev,201562,82,2.54990710257731,2.39117312671614
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150604-115359\,20150604-115359-001.nev,201564,85,2.52212598977835,2.46991228115842
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150608-115229\,20150608-115229-001.nev,201568,81,2.58948243671125,2.50283102080068
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150609-114538\,20150609-114538-001.nev,201569,81,2.76605652219971,2.62556866551743
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150611-115838\,20150611-115838-001.nev,2015611,84,2.70350877788596,2.52968087625826
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150618-120017\,20150618-120017-001.nev,2015618,82,2.59642163631339,2.42496256304159
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150622-114602\,20150622-114602-001.nev,2015622,84,2.54872853648809,2.4176539884048
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150623-115516\,20150623-115516-001.nev,2015623,84,2.77118205301292,2.50936169407654
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150625-115009\,20150625-115009-001.nev,2015625,84,2.59490759305149,2.36762885197345
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150629-115523\,20150629-115523-001.nev,2015629,85,2.62115285233071,2.28318623108756
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150630-120748\,20150630-120748-001.nev,2015630,85,2.71554366612798,2.53167113000623
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150702-115850\,20150702-115850-001.nev,201572,82,2.53826731490986,2.3813131559165
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineA\20150706-120257\,20150706-120257-001.nev,201576,82,2.58447101921009,2.32322639294206
