FilePath,FileName,NEVdate,NumGoodChannels,SNRallchannels,SNRgoodchannels
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150511-124639\,20150511-124639-001.nev,2015511,80,2.4725281796823,2.26190992594764
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150512-120642\,20150512-120642-001.nev,2015512,81,2.25284850134602,2.11191717725514
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150514-115250\,20150514-115250-001.nev,2015514,78,2.36909302698154,2.14856095537966
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150518-114824\,20150518-114824-001.nev,2015518,88,2.49589051024339,2.3578392828057
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150519-114050\,20150519-114050-001.nev,2015519,87,2.40680281455806,2.30408472538045
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150521-115624\,20150521-115624-001.nev,2015521,85,2.44271457852658,2.37512938173615
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150526-114938\,20150526-114938-001.nev,2015526,87,2.38984553557444,2.39182062915197
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150528-115900\,20150528-115900-001.nev,2015528,88,2.58432715380142,2.53756982502696
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150529-114232\,20150529-114232-001.nev,2015529,88,2.49337858696705,2.44747124542569
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150601-115142\,20150601-115142-001.nev,201561,86,2.4516809723836,2.34073452927912
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150602-115852\,20150602-115852-001.nev,201562,81,2.60785734255407,2.51723639719648
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150604-114759\,20150604-114759-001.nev,201564,88,2.51077624232811,2.40947823767389
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150608-114456\,20150608-114456-001.nev,201568,87,2.86353643060595,2.68102666750323
