FilePath,FileName,NEVdate,NumGoodChannels,SNRallchannels,SNRgoodchannels
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150511-124639\,20150511-124639-001.nev,2015511,21,1.74451912825989,1.62803779836411
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150512-120642\,20150512-120642-001.nev,2015512,24,1.96842390403744,1.66435878265773
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150514-115250\,20150514-115250-001.nev,2015514,25,2.07063074862332,1.85403048478764
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150518-114824\,20150518-114824-001.nev,2015518,29,2.21003265850191,2.32033978408559
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150519-114050\,20150519-114050-001.nev,2015519,30,2.35689056730225,2.30641780876399
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150521-115624\,20150521-115624-001.nev,2015521,29,2.26128802863203,2.14365391536125
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150526-114938\,20150526-114938-001.nev,2015526,30,2.36329839601539,2.28556527739853
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150528-115900\,20150528-115900-001.nev,2015528,29,2.3319357473367,2.33526978069843
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150529-114232\,20150529-114232-001.nev,2015529,31,2.29435007188873,2.43381275004587
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150601-115142\,20150601-115142-001.nev,201561,31,2.30078722970266,2.3797610514285
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150602-115852\,20150602-115852-001.nev,201562,32,2.49809899989745,2.65905909593007
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150604-114759\,20150604-114759-001.nev,201564,31,2.19835742680214,2.48823241984338
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150608-114456\,20150608-114456-001.nev,201568,30,2.17761923982553,2.66025233563431
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150609-113936\,20150609-113936-001.nev,201569,30,2.3321278882256,2.39790145245182
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150611-115044\,20150611-115044-001.nev,2015611,28,2.10081289098993,2.20587688006354
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150618-115534\,20150618-115534-001.nev,2015618,26,1.9196463846502,2.29359634770077
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150622-114030\,20150622-114030-001.nev,2015622,26,1.87306219692735,1.79968104017225
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150623-114825\,20150623-114825-001.nev,2015623,30,2.20280804394603,2.1770312476364
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150625-114504\,20150625-114504-001.nev,2015625,30,2.27954231328304,2.27928544284945
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150629-115129\,20150629-115129-001.nev,2015629,28,2.11445287521179,2.46590434846732
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150630-120603\,20150630-120603-001.nev,2015630,28,2.01940940402901,2.14004073303856
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150702-115246\,20150702-115246-001.nev,201572,30,2.11177583111822,2.10257013587748
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150706-115755\,20150706-115755-001.nev,201576,30,2.05962818239483,1.96042190696853
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150707-114323\,20150707-114323-001.nev,201577,28,2.09235046797427,2.15397199656142
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150710-115303\,20150710-115303-001.nev,2015710,27,2.03846672078679,1.92503732111976
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150713-114908\,20150713-114908-001.nev,2015713,28,2.10390885776451,1.80440562099063
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150714-114104\,20150714-114104-001.nev,2015714,24,1.82029059117958,1.84389191257292
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150716-114614\,20150716-114614-001.nev,2015716,29,2.12229943995092,2.14184247507846
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150720-114625\,20150720-114625-001.nev,2015720,26,1.787290126143,1.93703082542321
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150721-115712\,20150721-115712-001.nev,2015721,25,1.7501720139473,1.8136872497569
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150723-114655\,20150723-114655-001.nev,2015723,25,1.91245783548249,1.79780352107721
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150727-115257\,20150727-115257-001.nev,2015727,30,2.12452100559492,2.1269887580311
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150728-123423\,20150728-123423-001.nev,2015728,31,2.23056999838077,2.16511159355814
